"","Character Name","Class","XP"
"1","Captain Theo","Social Rogue",173
"2","Faye Havengaurd","Personality Paladin",149.95
"3","Solan Delve","Social Rogue",164
"4","Leona Guard-El","Psych Mage",128.4
"5","Lucid Luminous Larry","Behavioral Bard",175
"6","Brogan Borealis","Psych Mage",174
"7","DarqDreams Burton","Sensation Sorcerer",169
"8","Az","Sensation Sorcerer",157
"9","Paul Nueternouse","Dreamweaver Druid",143
"10","Ouran Letheron","Psych Mage",157.3
"11","Liora Mindscape","Social Rogue",175
"12","Zephyros Cognitus","Behavioral Bard",175
"13","Ms. Ing","Ms. Ing",95
"14","NOVA Echo","Neuroknight",172
"15","Coolguy Sunglassesman","Dreamweaver Druid",175
"16","Boe","Social Rogue",173
"17","Elara Elysia","Social Rogue",163
"18","Michael Metis","Learning Monk",164
"19","Jasmine Psychesearcher","Social Rogue",166
"20","FutureSight","Behavioral Bard",174
"21","Genesis Nightwraith","Personality Paladin",174
"22","Mingdoki Bard","Behavioral Bard",157
"23","Nikoli LeCognito","Neuroknight",164
"24","Enid Hemlock","Personality Paladin",172
"25","Celeana Sardothein","Personality Paladin",172
"26","Jay Stromiua","Personality Paladin",172
"27","Ms. Ing","Ms. Ing",0
"28","Victor Ludus","Cognitive Wizard",158
"29","Jean Frued","Neuroknight",175
"30","Ms. Ing","Ms. Ing",0
"31","Ignis Brainstorm","Personality Paladin",140.5
"32","Leora Cognitus","Neuroknight",175
"33","Bingle Bonegle","Behavioral Bard",175
"34","Lenora Nightingale","Sensation Sorcerer",172
"35","Navella Rosé Montenegro","Psych Mage",174
"36","Sajda Somerfield","Neuroknight",166
"37","Opa Tippletoe HorcusPorcus","Cognitive Wizard",175
"38","Gideon Blackwood","Social Rogue",172
"39","Tim the Goblin","Social Rogue",175
"40","Keldroc","Psych Mage",153
"41","Malachi Pensynthe","Cognitive Wizard",159
"42","Zaril Viere","Learning Monk",175
"43","Wonder Farr","Behavioral Bard",175
"44","Acteon Nyx","Psych Mage",173
"45","Essel Setressa","Cognitive Wizard",152
"46","Nous Zētēs","Psych Mage",172
"47","Alastor Alptraum, the Shrike of Sol Sera","Learning Monk",175
"48","Aurelius Insight","Sensation Sorcerer",147
"49","Thalyn Annulore","Neuroknight",163
"50","Carnylious","Social Rogue",150
"51","Lora Galson","Psych Mage",172
"52","Noah Starforge","Behavioral Bard",166
"53","Aras Shelterscale","Personality Paladin",157
"54","Koi Fish","Neuroknight",168
"55","Jung Thoughtweaver","Cognitive Wizard",173
"56","Welverin","Social Rogue",172
"57","Taria Glintshade","Behavioral Bard",175
"58","Azulil Virsum","Social Rogue",147
"59","Dr. Evelyn Carter","Neuroknight",173
"60","Simone Reliadiss","Neuroknight",157
"61","Bug Eyes Viator","Dreamweaver Druid",174
"62","Throckmorton","Psych Mage",174
"63","Mnesariana Xylara","Neuroknight",174
"64","Xaylen Eclips","Cognitive Wizard",158.2
"65","Archeon Flicker Lite","Psych Mage",174
"66","Aiden the Cognitive Sage","Cognitive Wizard",153
"67","Lebron the Paladin","Personality Paladin",172
"68","Oculus Tytofelis","Sensation Sorcerer",175
"69","Kage-K Visio","Dreamweaver Druid",172
"70","Seven Silicon","Neuroknight",174
"71","Rem Auroras","Dreamweaver Druid",175
"72","Thalric Lumen","Sensation Sorcerer",160
"73","Thunder McKing","Social Rogue",174
"74","Denzeen Shadowstaff","Cognitive Wizard",172
"75","Soppressata","Cognitive Wizard",153
"76","Harmonious Horse","Behavioral Bard",175
"77","Tony Pizza","Dreamweaver Druid",175
"78","Edward Dreamknight","Dreamweaver Druid",175
"79","Arius Valenwood","Learning Monk",112
"80","Cognizar The Cognitive Wizard","Cognitive Wizard",146
"81","Ithirael Stormwarden the Mindweaver","Psych Mage",375
"82","Liira Nighthawk","Dreamweaver Druid",375
